"","color","description"
"1","#E78AC3","pink"
"2","#666666","dark grey"
"3","#D95F02","orange"
"4","#B2DF8A","soft green"
"5","#E7298A","magenta"
"6","#80B1D3","medium blue"
"7","#E5D8BD","khaki"
"8","#FFFF33","yellow"
"9","#6A3D9A","dark purple"
"10","#E41A1C","red"
"11","#66A61E","leaf green"
"12","#B15928","brown"
"13","#FDDAEC","light pink"
"14","#1F78B4","blue"
"15","#BC80BD","light purple"
"16","#66C2A5","seafoam"
"17","#A6D854","acid green"
"18","#FC8D62","coral"
"19","#A6761D","tan brown"
"20","#B3E2CD","light turquoise"
"21","#999999","medium grey"
"22","#CCCCCC","light grey"
